NBA Season,Team,% Salary Cap,Prev # All-Stars,Prev W-L,# (H) Games,(H) Attendance Season,(H) Arena Capacity,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Avg Attendance,(A) % Capacity,(A) Games,(H) & (A) Avg,(H) & (A) PCT
2014-2015,Phoenix Suns,1.05,0,0.59,41,693862,18422,755302,16923,0.92,41,17586,0.92,82,17255,0.92
2015-2016,Phoenix Suns,1.01,0,0.48,41,701405,18422,755302,17107,0.93,41,16881,0.89,82,16994,0.91
2016-2017,Phoenix Suns,0.93,1,0.28,41,701405,18422,755302,17107,0.93,41,16881,0.89,82,16994,0.91
2008-2009,Portland Trail Blazers,1.37,1,0.5,41,841499,19980,819180,20524,1.03,40,17167,0.9,81,18846,0.96
2009-2010,Portland Trail Blazers,0.91,1,0.66,41,840411,19980,819180,20498,1.03,41,16546,0.87,82,18522,0.95
2010-2011,Portland Trail Blazers,1.22,0,0.61,41,840924,19980,819180,20510,1.03,41,16333,0.86,82,18422,0.94
2011-2012,Portland Trail Blazers,1.33,1,0.59,33,676384,19980,659340,20496,1.03,33,17164,0.91,66,18830,0.97
2012-2013,Portland Trail Blazers,1.25,1,0.42,41,813012,19980,819180,19830,0.95,41,16727,0.88,82,18278,0.92
2013-2014,Portland Trail Blazers,1.05,2,0.4,41,809612,19980,819180,19747,0.95,41,17312,0.91,82,18529,0.93
2014-2015,Portland Trail Blazers,1.46,2,0.66,41,801733,19980,819180,19554,0.94,41,17657,0.93,82,18606,0.93
2015-2016,Portland Trail Blazers,0.88,0,0.62,41,794085,19980,819180,19368,1,41,17703,0.93,82,18535,0.96
2016-2017,Portland Trail Blazers,1.22,1,0.54,41,794085,19980,819180,19368,1,41,17703,0.93,82,18535,0.96
2008-2009,Sacramento Kings,1.18,0,0.46,40,502852,17317,692680,12571,0.73,41,17227,0.9,81,14899,0.81
2009-2010,Sacramento Kings,1.08,0,0.21,41,543416,17317,709997,13254,0.77,41,16973,0.89,82,15114,0.83
2010-2011,Sacramento Kings,0.74,0,0.31,41,569496,17317,709997,13890,0.8,41,17400,0.91,82,15645,0.86
2011-2012,Sacramento Kings,0.82,0,0.29,33,478764,17317,571461,14508,0.84,33,16905,0.88,66,15707,0.86
2012-2013,Sacramento Kings,0.92,0,0.33,41,563743,17317,709997,13750,0.79,41,17305,0.9,82,15527,0.85
2013-2014,Sacramento Kings,1.34,0,0.34,41,667949,17317,709997,16291,0.94,41,16859,0.88,82,16575,0.91
2014-2015,Sacramento Kings,1.17,1,0.34,41,680049,17317,709997,16587,0.96,41,17515,0.92,82,17051,0.94
2015-2016,Sacramento Kings,1.04,1,0.35,41,707526,17317,709997,17257,1,41,17355,0.91,82,17306,0.95
2016-2017,Sacramento Kings,1.05,1,0.4,41,707526,17608,721928,17257,1,41,17355,0.91,82,17306,0.95
2008-2009,San Antonio Spurs,1.16,2,0.68,41,749048,18418,755138,18269,0.97,40,17626,0.92,81,17948,0.95
2009-2010,San Antonio Spurs,1.26,1,0.66,41,741676,18418,755138,18090,0.97,41,17707,0.93,82,17898,0.95
2010-2011,San Antonio Spurs,1.14,2,0.61,41,750879,18418,755138,18314,0.99,41,17389,0.91,82,17852,0.95
2011-2012,San Antonio Spurs,1.23,1,0.74,33,607095,18418,607794,18397,0.99,33,16990,0.9,66,17693,0.94
2012-2013,San Antonio Spurs,1.18,2,0.76,41,755700,18418,755138,18432,0.99,41,17290,0.91,82,17861,0.95
2013-2014,San Antonio Spurs,1.08,1,0.71,41,755031,18418,755138,18415,0.99,41,17627,0.92,82,18021,0.96
2014-2015,San Antonio Spurs,1.1,1,0.76,41,762855,18418,755138,18606,1,41,17972,0.94,82,18289,0.97
2015-2016,San Antonio Spurs,1.26,2,0.67,41,756445,18418,755138,18450,0.99,41,17938,0.94,82,18194,0.97
2016-2017,San Antonio Spurs,1.19,1,0.82,41,756445,18418,755138,18450,0.99,41,17938,0.94,82,18194,0.97
2008-2009,Toronto Raptors,1.25,1,0.68,41,769707,19800,811800,18773,0.95,41,16785,0.87,82,17779,0.91
2009-2010,Toronto Raptors,1.08,1,0.66,41,733784,19800,811800,17897,0.9,41,16466,0.86,82,17182,0.88
2010-2011,Toronto Raptors,1.14,0,0.61,41,679208,19800,811800,16566,0.84,41,16855,0.92,82,16711,0.88
2011-2012,Toronto Raptors,0.92,0,0.74,33,555584,19800,653400,16836,0.85,33,16732,0.86,66,16784,0.86
2012-2013,Toronto Raptors,1.13,0,0.76,41,743936,19800,811800,18145,0.92,41,16313,0.85,82,17229,0.88
2013-2014,Toronto Raptors,0.9,1,0.71,41,748339,19800,811800,18252,0.92,41,16702,0.87,82,17477,0.9
2014-2015,Toronto Raptors,1.2,1,0.76,41,809824,19800,811800,19752,1,41,17522,0.91,82,18637,0.95
2015-2016,Toronto Raptors,1.04,2,0.67,41,812863,19800,811800,19826,1,41,17162,0.89,82,18494,0.95
2016-2017,Toronto Raptors,1.19,2,0.82,41,812863,19800,811800,19826,1,41,17162,0.89,82,18494,0.95
2008-2009,Utah Jazz,1.12,0,0.66,41,816042,18303,750423,19903,1,41,17038,0.89,82,18471,0.95
2009-2010,Utah Jazz,1.15,1,0.59,41,794512,18303,750423,19378,0.97,41,17095,0.9,82,18237,0.94
2010-2011,Utah Jazz,1.24,1,0.65,41,799982,18303,750423,19512,0.98,41,17331,0.91,82,18421,0.95
2011-2012,Utah Jazz,0.95,0,0.48,33,637124,18303,603999,19307,0.97,33,16929,0.9,66,18118,0.93
2012-2013,Utah Jazz,1.1,0,0.55,41,765915,18303,750423,18681,0.94,41,16769,0.88,82,17725,0.91
2013-2014,Utah Jazz,0.93,0,0.52,41,745203,18303,750423,18176,0.91,41,17295,0.91,82,17735,0.91
2014-2015,Utah Jazz,0.94,0,0.31,41,772059,18303,750423,18831,0.95,41,17135,0.9,82,17983,0.92
2015-2016,Utah Jazz,0.94,0,0.46,41,791489,18303,750423,19305,0.97,41,17378,0.92,82,18341,0.94
2016-2017,Utah Jazz,0.88,1,0.49,41,791489,18303,750423,19305,0.97,41,17378,0.92,82,18341,0.94
2008-2009,Washington Wizards,1.21,0,0.52,41,681117,18277,749357,16613,0.82,41,17157,0.89,82,16885,0.86
2009-2010,Washington Wizards,1.17,0,0.23,41,664398,18277,749357,16205,0.8,41,16487,0.86,82,16346,0.83
2010-2011,Washington Wizards,0.95,0,0.32,41,688466,18277,749357,16792,0.83,41,17192,0.89,82,16992,0.86
2011-2012,Washington Wizards,0.92,0,0.28,33,552038,18277,603141,16728,0.83,33,16361,0.85,66,16545,0.84
2012-2013,Washington Wizards,1.12,0,0.3,41,670070,18277,749357,16343,0.81,41,16193,0.84,82,16268,0.82
2013-2014,Washington Wizards,1.09,1,0.35,41,698068,18277,749357,17026,0.84,41,17183,0.89,82,17105,0.87
2014-2015,Washington Wizards,1.32,1,0.54,41,747796,18277,749357,18239,0.9,41,18253,0.95,82,18246,0.92
2015-2016,Washington Wizards,1.22,1,0.56,41,725426,18277,749357,17693,0.87,41,17787,0.92,82,17740,0.9
2016-2017,Washington Wizards,1.12,1,0.5,41,725426,18277,749357,17693,0.87,41,17787,0.92,82,17740,0.9
