NBA Season,Team,# (H) Games,(H) Attendance Season,(H) Capacity %,(H) Capacity Season,(H) Avg Attendance,(H) % Capacity,# (A) Games,(A) Attendance Season,(A) Avg Attendance,(A) Capacity % ,(H) & (A) Avg,(H) & (A) PCT
2016-2017,Toronto Raptors,41,812863,19800,811800,19825.92683,100.1,41,17162,89.2,82,18494,94.65
2008-2009,Utah Jazz,41,816042,18303,750423,19903.46341,100,41,17038,89.2,82,18471,94.6
2009-2010,Utah Jazz,41,794512,18303,750423,19378.34146,97.3,41,17095,89.9,82,18237,93.6
2010-2011,Utah Jazz,41,799982,18303,750423,19511.7561,98,41,17331,91.2,82,18421,94.6
2011-2012,Utah Jazz,33,637124,18303,603999,19306.78788,97,33,16929,89.8,66,18118,93.4
2012-2013,Utah Jazz,41,765915,18303,750423,18680.85366,93.8,41,16769,88.3,82,17725,91.05
2013-2014,Utah Jazz,41,745203,18303,750423,18175.68293,91.3,41,17295,90.6,82,17735,90.95
2014-2015,Utah Jazz,41,772059,18303,750423,18830.70732,94.6,41,17135,90,82,17983,92.3
2015-2016,Utah Jazz,41,791489,18303,750423,19304.60976,97,41,17378,91.6,82,18341,94.3
2016-2017,Utah Jazz,41,791489,18303,750423,19304.60976,97,41,17378,91.6,82,18341,94.3
2008-2009,Washington Wizards,41,681117,18277,749357,16612.60976,82.4,41,17157,88.7,82,16885,85.55
2009-2010,Washington Wizards,41,664398,18277,749357,16204.82927,80.3,41,16487,86.1,82,16346,83.2
2010-2011,Washington Wizards,41,688466,18277,749357,16791.85366,83.2,41,17192,89.2,82,16992,86.2
2011-2012,Washington Wizards,33,552038,18277,603141,16728.42424,82.9,33,16361,84.8,66,16545,83.85
2012-2013,Washington Wizards,41,670070,18277,749357,16343.17073,80.6,41,16193,84.1,82,16268,82.35
2013-2014,Washington Wizards,41,698068,18277,749357,17026.04878,84,41,17183,89.2,82,17105,86.6
2014-2015,Washington Wizards,41,747796,18277,749357,18238.92683,89.9,41,18253,95,82,18246,92.45
2015-2016,Washington Wizards,41,725426,18277,749357,17693.31707,87.3,41,17787,92.4,82,17740,89.85
2016-2017,Washington Wizards,41,725426,18277,749357,17693.31707,87.3,41,17787,92.4,82,17740,89.85
